title,amenities,bathrooms,bedrooms,fee,has_photo,pets_allowed,price,square_feet,cityname,state,latitude,longitude,source,time
Beautiful Petersburg Apartment for rent. Parking Available!,"Parking,Storage",1.0,2.0,No,Yes,,600.0,750,Petersburg,VA,37.22848580780099,-77.43586216241488,RentDigs.com,1550857074
One BR Apartment - Proudly part of the Mile High s lower downtown atmosphere.,"Gym,Hot Tub,Pool,Wood Floors",1.0,1.0,No,Yes,,1697.0,744,Denver,CO,39.72609836347101,-105.01275326505426,RentDigs.com,1550858235
Two BR Apartment in Tampa,"Basketball,Clubhouse,Gated,Gym,Tennis",2.0,2.0,No,Yes,,1345.0,1102,Tampa,FL,27.97592802435178,-82.57458615544506,RentDigs.com,1550825869
Chapel Ridge,"AC,Cable or Satellite,Clubhouse,Dishwasher,Gym,Internet Access,Patio/Deck,Playground,Pool,Storage,Washer Dryer",1.0,1.0,No,Thumbnail,"Cats,Dogs",590.0,671,Springdale,AR,36.18306806587668,-94.17841239908924,RentDigs.com,1551864861
1546 Ingleside Ave,"Dishwasher,Garbage Disposal,Pool,Refrigerator",1.0,2.0,No,Thumbnail,,1350.0,896,Baltimore,MD,39.34908731637701,-76.71801410292643,GoSection8,1568323596
"Mile and Schoenherr Roads in Warren, Michigan.","Dishwasher,Parking,Patio/Deck,Pool,Refrigerator,Storage",1.0,1.0,No,Yes,,850.0,836,Warren,MI,42.54710303783514,-83.01951141893196,RentDigs.com,1544216937
Two BR - ready to move in.,"AC,Clubhouse,Dishwasher,Fireplace,Gym,Hot Tub,Parking,Pool,Refrigerator,Storage,Washer Dryer",2.0,2.0,No,Thumbnail,"Cats,Dogs",1738.0,1093,Littleton,CO,39.587875789380405,-105.07669143164983,RentDigs.com,1550853048
"Average Rent $1,913 a month - That's a STEAL!","AC,Gated,Gym",1.5,3.0,No,No,"Cats,Dogs",1913.0,1716,Fort Eustis,VA,36.94779882873693,-76.42422612215621,RentDigs.com,1550849972
"San Antonio, prime location Three BR, Apartment","Parking,Pool",2.0,3.0,No,Yes,,1825.0,1379,San Antonio,TX,29.42328512577487,-98.7750754544658,RentDigs.com,1544269650
"Amazing One BR, One BA for rent. $1,253/mo","Fireplace,Gym,Parking,Pool,Washer Dryer",1.0,1.0,No,Yes,"Cats,Dogs",1253.0,629,San Antonio,TX,29.660844891464706,-98.4235998759912,RentDigs.com,1544273015
Apartment \ One BA \ $980/mo - ready to move in. Single Car Garage!,"Gym,Parking,Pool",1.0,1.0,No,Yes,"Cats,Dogs",980.0,659,Fuquay Varina,NC,35.60881190934369,-78.79130752496123,RentDigs.com,1568760510
Raleigh - superb Apartment nearby fine dining. Single Car Garage!,"Parking,Pool",1.0,1.0,No,Yes,,1442.0,784,Raleigh,NC,35.85564327219631,-78.65751856274832,RentDigs.com,1568769993
Fort Collins - 1bd/One BA 726sqft Apartment for rent,"Parking,Patio/Deck,Pool",1.0,1.0,No,Yes,,1350.0,726,Fort Collins,CO,40.62359638166773,-105.10489252786483,RentDigs.com,1568766233
Apartment in great location. $890/mo,"AC,Dishwasher,Fireplace,Gated,Gym,Patio/Deck,Pool",1.0,1.0,No,Thumbnail,"Cats,Dogs",890.0,558,Dallas,TX,32.867726292975256,-96.8068468443868,RentDigs.com,1568755223
"Sacramento, prime location Studio, Apartment. Parking Available!","Elevator,Gym,Internet Access,Parking",1.0,1.0,No,Yes,,1731.0,505,Sacramento,CA,38.56735416813715,-121.48550407453122,RentDigs.com,1550827768
"Gorgeous Toledo, Two BR, One BA","AC,Patio/Deck,Pool,Refrigerator",1.0,2.0,No,Yes,"Cats,Dogs",549.0,813,Toledo,OH,41.6484066191265,-83.6007060749705,RentDigs.com,1568745819
"Bright Dayton, Two BR, Two BA for rent",Fireplace,2.0,2.0,No,Yes,,1020.0,928,Dayton,OH,39.62675910545848,-84.17162758828837,RentDigs.com,1568775190
"Bright Cypress, Two BR, 1.25 BA for rent",,1.0,2.0,No,Yes,,2072.0,910,Cypress,CA,33.820101995743855,-118.01635312194972,RentDigs.com,1568772213
"$2,001/mo - in a great area.","Gym,Hot Tub,Pool",1.0,1.0,No,Yes,,2001.0,820,Los Angeles,CA,34.03924404797466,-118.28921135793054,RentDigs.com,1568758133
"Charming Three BR, Two BA. Single Car Garage!","Basketball,Clubhouse,Dishwasher,Gym,Hot Tub,Parking,Patio/Deck,Pool,Refrigerator,Storage,Washer Dryer",2.0,3.0,No,Yes,"Cats,Dogs",1685.0,1324,San Antonio,TX,29.690667329700418,-98.47061340839632,RentDigs.com,1544272299
"Kansas City, Great Location, Studio Apartment.",Parking,1.0,0.0,No,Yes,,625.0,550,Kansas City,MO,39.08367918340675,-94.55011878966693,RentDigs.com,1550816679
"Charlotte, Great Location, One BR Apartment. Pet OK!","Gym,Patio/Deck,Playground,Pool,Washer Dryer",1.0,1.0,No,Yes,"Cats,Dogs",915.0,692,Charlotte,NC,35.20760782286795,-80.83430910306923,RentDigs.com,1544194372
Lowell - Top-floor Two BR unit available for Village.,,1.0,2.0,No,No,,1649.0,1100,Lowell,MA,42.66066660755356,-71.33249642857561,RentDigs.com,1550854396
Cherry Hill - convenient location.,"Parking,Pool,Storage,Tennis",1.0,1.0,No,Thumbnail,,1395.0,792,Cherry Hill,NJ,39.9299744935251,-74.98454922470702,RentDigs.com,1568772339
This Apartment is a must see!,,2.0,3.0,No,Yes,,925.0,1560,Canton,OH,40.81281064675281,-81.38385782877938,RentDigs.com,1568760052
"Move-in condition, Two BR One BA","AC,Clubhouse,Gated,Gym,Internet Access,Washer Dryer,Wood Floors",1.0,2.0,No,Thumbnail,"Cats,Dogs",1540.0,990,Manchester,NH,42.95628765439544,-71.49572481556386,RentDigs.com,1568771422
"Welcome to The Hallie Apartments in, CA.",,2.0,2.0,No,Thumbnail,"Cats,Dogs",2733.0,1000,Pasadena,CA,34.1534158904546,-118.1264454567701,RentDigs.com,1568780192
"Boulder, One BR, One BA for rent","Cable or Satellite,Internet Access,Patio/Deck,Storage",1.0,1.0,No,Yes,,1220.0,900,Boulder,CO,40.05663368198923,-105.3277335677346,RentDigs.com,1568759809
"Gorgeous Columbus, Two BR, One BA","Parking,Playground,Pool,Storage",1.0,2.0,No,Yes,,1045.0,1157,Columbus,OH,40.10736989480653,-83.0329301786646,RentDigs.com,1550853494
"Lovely Boston, One BR, One BA","Cable or Satellite,Dishwasher,Elevator,Gated,Gym,Parking,Refrigerator,Storage",1.0,1.0,No,Thumbnail,Cats,2500.0,625,Boston,MA,42.3474386598207,-71.04877121210876,RentDigs.com,1568750602
Two BR Apartment in Quiet Building - Santa Monica,"Elevator,Fireplace,Gated,Parking,Storage",2.0,2.0,No,No,,6500.0,1620,Santa Monica,CA,34.00825832263099,-118.47657135334038,RentDigs.com,1568769738
Outstanding Opportunity To Live At The Dallas City Club,Pool,1.0,1.0,No,Thumbnail,,1534.0,688,Dallas,TX,32.8322784085956,-96.8189304987939,RentDigs.com,1568745503
Two BR Apartment in North Port,"AC,Cable or Satellite,Dishwasher,Parking",2.5,2.0,No,Yes,"Cats,Dogs",1049.0,2054,North Port,FL,27.035520433055023,-82.17545882049745,RentDigs.com,1568752158
"$1,147/mo - come and see this one.",,2.0,2.0,No,Thumbnail,,1147.0,1185,Louisville,KY,38.23789182417123,-85.63503679268925,RentDigs.com,1550834821
Two BR \ Woodbridge \ 840 sq. ft. - come and see this one.,"AC,Cable or Satellite,Clubhouse,Dishwasher,Fireplace,Gym,Internet Access,Patio/Deck,Playground,Refrigerator,Storage,Washer Dryer",1.0,2.0,No,Thumbnail,"Cats,Dogs",1489.0,840,Woodbridge,VA,38.68460822597145,-77.34568368581469,RentDigs.com,1550838568
Stewart Apartments $545-$570Two bedroom 1 BA ranges from $530-555.,"Dishwasher,Garbage Disposal,Pool,Refrigerator,Washer Dryer",1.0,2.0,No,No,,570.0,891,Crossville,TN,35.93303383667497,-85.05175901253799,RentDigs.com,1550821165
$726 / One BR - Great Deal. MUST SEE!,"Cable or Satellite,TV",1.0,1.0,No,Thumbnail,"Cats,Dogs",726.0,726,Overland Park,KS,38.96761568919843,-94.68115304970202,RentDigs.com,1550817539
Apartment for rent in Redding.,,2.0,3.0,No,No,,1250.0,1325,Redding,CA,40.5330867707538,-122.34118620717804,RentDigs.com,1550835558
"Over 1,015 sf in Shawnee",Parking,2.0,2.0,No,Thumbnail,,775.0,1015,Shawnee,KS,39.01258234273573,-94.705652372824,RentDigs.com,1550815509
One Spacious BR in Yulee. Pet OK!,"Clubhouse,Gym,Parking,Patio/Deck,Playground,Pool,Storage,Washer Dryer,Wood Floors",1.0,1.0,No,Yes,"Cats,Dogs",1245.0,817,Yulee,FL,30.698599556469453,-81.63509620353851,RentDigs.com,1544175893
"Lovely Mansfield, Two BR, Two BA. Washer/Dryer Hookups!","Parking,Pool,Washer Dryer",2.0,2.0,No,No,,1855.0,1135,Mansfield,TX,32.517687354242184,-96.9931654616967,RentDigs.com,1568782358
"Maineville, Three BR, Two BA for rent. Parking Available!",Parking,2.0,3.0,No,Yes,,1395.0,1253,Maineville,OH,39.32921525770388,-84.21950393589951,RentDigs.com,1568761811
Virginia Beach - superb Apartment nearby fine dining,,2.0,2.0,No,Thumbnail,"Cats,Dogs",1375.0,972,Virginia Beach,VA,36.88606014088518,-75.99115651399994,RentDigs.com,1550843486
Apartment in great location,"Clubhouse,Gym,Pool",2.0,2.0,No,Yes,,974.0,1185,Clarkston,GA,33.81945688547628,-84.21483324255499,RentDigs.com,1568768469
Apartment in great location,,2.0,3.0,No,Yes,,1455.0,1512,Lithonia,GA,33.652568227999026,-84.18485999360892,RentDigs.com,1568773559
Average Rent $700 a month - That's a STEAL!,,1.0,1.0,No,Yes,,700.0,600,Colorado Springs,CO,38.915966517546615,-104.81352738176533,RentDigs.com,1568769993
Mobile Luxurious 2 + 2,Washer Dryer,2.0,2.0,No,Yes,,741.0,1000,Mobile,AL,30.63958813762592,-88.18149692739652,RentDigs.com,1544263902
"Amazing Two BR, One BA for rent","Cable or Satellite,Parking",1.0,2.0,No,Thumbnail,,1710.0,900,Belleville,NJ,40.7752033619658,-74.17933371003264,RentDigs.com,1568755278
Beautiful Riverview Apartment for rent,"AC,Gym,Pool",2.0,3.0,No,Thumbnail,,1400.0,1286,Riverview,FL,27.89078895639258,-82.30505471481061,RentDigs.com,1550815977
Gorgeous and huge Three BR / Two BA downstairs apartment. Will Consider!,"Fireplace,Parking,Wood Floors",2.0,3.0,No,Yes,,3399.0,1900,Los Angeles,CA,34.06538613947426,-118.31222362503982,RentDigs.com,1568747336
Gilbert - superb Apartment nearby fine dining,,2.0,2.0,No,No,,1290.0,1077,Gilbert,AZ,33.270220445897614,-111.73595474520052,RentDigs.com,1550826517
One BR 2606 Wheless Lane,Wood Floors,1.0,1.0,No,Thumbnail,,1000.0,705,Austin,TX,30.27495383381192,-97.7822770608871,RentLingo,1577359709
Four BR 4272 Walnut Grove Rd.,,4.5,4.0,No,Thumbnail,,4350.0,4480,Memphis,TN,35.116207644766924,-89.98541216504735,RentLingo,1577360204
"Amazing Two BR, 1.50 BA for rent",Parking,1.5,2.0,No,Thumbnail,,1825.0,934,Alexandria,VA,38.79609970380837,-77.1226017627243,RentDigs.com,1550847162
"Apartment in quiet area, spacious with big kitchen","Gym,Pool",1.0,1.0,No,No,,2498.0,660,San Diego,CA,32.77800237371893,-117.11119724906496,RentDigs.com,1550819362
It's very desirable location in Newtonville.,"Fireplace,Parking,Storage,Wood Floors",1.0,3.0,No,Yes,,2600.0,1000,Newtonville,MA,42.34039036329934,-71.20331383169629,RentDigs.com,1568763881
Over 791 sf in Alpharetta,"Gated,Gym,Parking,Pool,Tennis",1.0,1.0,No,Yes,,1131.0,791,Alpharetta,GA,34.11961810375246,-84.27245712180758,RentDigs.com,1568765565
"Two BR, One BA, safe neighborhood","AC,Cable or Satellite,Clubhouse,Dishwasher,Garbage Disposal,Gym,Patio/Deck,Playground,Refrigerator,Washer Dryer",1.0,2.0,No,Yes,"Cats,Dogs",1300.0,995,Glen Burnie,MD,39.17635615154003,-76.65020944292365,RentDigs.com,1568776068
Fairfax - superb Apartment nearby fine dining,Parking,1.0,1.0,No,Yes,,1530.0,500,Fairfax,VA,38.845895580777125,-77.37202224026946,RentDigs.com,1550830892
"Lease Spacious 2+2. Approx 1,170 sf of Living Space!","Gym,Pool",2.0,2.0,No,Yes,,1170.0,1170,Little Rock,AR,34.7882254345585,-92.35264279231068,RentDigs.com,1550852382
Apartment in prime location. Pet OK!,"Clubhouse,Gym,Pool",1.0,2.0,No,Thumbnail,"Cats,Dogs",1485.0,884,Grand Terrace,CA,34.042673658408575,-117.32344907322096,RentDigs.com,1550838928
Two Spacious BR in Dallas,"AC,Cable or Satellite,Dishwasher,Fireplace,Patio/Deck,Playground,Pool,Storage,Washer Dryer",2.0,2.0,No,Thumbnail,"Cats,Dogs",860.0,945,Dallas,TX,32.79954943501484,-96.70963526025008,RentDigs.com,1568753763
Beautiful Houston Apartment for rent,"Clubhouse,Gym",2.0,2.0,No,Yes,,975.0,1224,Houston,TX,29.71817601564211,-95.5462509890044,RentDigs.com,1544188919
Apartment in prime location,"Parking,Storage,Washer Dryer",2.0,2.0,No,Yes,,1605.0,996,Renton,WA,47.46449092060293,-122.21920207809524,RentDigs.com,1568779477
"Spacious Two BR, Two BA","Fireplace,Parking,Pool",2.0,2.0,No,Thumbnail,"Cats,Dogs",1573.0,1189,Glen Allen,VA,37.74591453465976,-77.58355337665998,RentDigs.com,1550858008
Two BR Apartment in Tucson,"AC,Clubhouse,Dishwasher,Fireplace,Gated,Gym,Hot Tub,Patio/Deck,Pool,Refrigerator,Washer Dryer",2.0,2.0,No,Yes,"Cats,Dogs",1195.0,1004,Tucson,AZ,32.295039044821344,-110.7653897201218,RentDigs.com,1550846668
Palolo Apartment 3/1/1 - Home for the holidays . Will Consider!,Parking,1.0,3.0,No,Yes,,1825.0,700,Honolulu,HI,21.324493083552188,-157.8159234121594,RentDigs.com,1544199139
Prominence Apartments Two BR Luxury Apartment Homes,AC,1.0,2.0,No,Yes,,1457.0,750,Denver,CO,39.707876993821706,-104.9682842975651,RentDigs.com,1550861842
This Apartment is a must see!,"AC,Clubhouse,Fireplace,Gym,Internet Access,Playground,Pool,Storage",2.0,2.0,No,Yes,,1099.0,1006,Marietta,GA,33.89237404456584,-84.53979427926278,RentDigs.com,1544262973
Located in the Heart of Lafayette.,"Pool,Washer Dryer",2.0,3.0,No,Yes,,1200.0,1235,Lafayette,LA,30.173363779759093,-92.06361894119767,RentDigs.com,1550852586
One BR 46 Avonwood Rd,Pool,1.0,1.0,No,Thumbnail,"Cats,Dogs",1464.0,922,Avon,CT,41.80475908944152,-72.86426439210052,RentLingo,1577359097
Decatur Value!,,1.5,2.0,No,Yes,,1055.0,1582,Decatur,GA,33.72203950178643,-84.18792068654771,RentDigs.com,1568772986
new renovation apartment @ sunnyside,,1.0,1.0,No,Thumbnail,"Cats,Dogs",1975.0,700,Sunnyside,NY,40.72193247841217,-73.9341043906556,RentDigs.com,1552724922
This Apartment is a must see!,"Gym,Parking,Pool,Washer Dryer",2.0,2.0,No,Thumbnail,,853.0,967,Clemmons,NC,36.03698525900101,-80.40549898217273,RentDigs.com,1568744003
Two BR Apartment in Atlanta,Gated,2.0,2.0,No,Yes,,1175.0,1250,Atlanta,GA,33.64639165895847,-84.466657751064,RentDigs.com,1550834708
Two Spacious BR in Cincinnati. $700/mo,,1.0,2.0,No,Yes,"Cats,Dogs",700.0,750,Cincinnati,OH,39.18938959913932,-84.6016515885186,RentDigs.com,1568766906
"1,145 sq. ft. Two BA, $1,430/mo - convenient location.","Clubhouse,Gym,Pool,Washer Dryer",2.0,2.0,No,Yes,,1430.0,1145,Durham,NC,36.044461273150446,-78.90488728206059,RentDigs.com,1568776960
One BR 1432 Ne. 7th St.,,1.0,1.0,No,Thumbnail,"Cats,Dogs",773.0,639,Oklahoma City,OK,35.43404999436001,-97.53878424846448,RentLingo,1577359100
2 BR 1 BA In West Jordan UT 84088,"Cable or Satellite,Patio/Deck",1.0,2.0,No,Thumbnail,,795.0,800,,,,,ListedBuy,1561823667
"Two BR Apartment - Discover the perfect balance of work, life.","Gym,Pool,Washer Dryer",2.0,2.0,No,Yes,,1177.0,937,Salt Lake City,UT,40.69270495533367,-111.87720494622576,RentDigs.com,1544289688
Apartment in move in condition in Denver,"Parking,Patio/Deck,Storage",1.0,1.0,No,Yes,,1035.0,713,Denver,CO,39.64859871514784,-104.89513625614482,RentDigs.com,1568753061
"Lovely Reno, Studio, One BA","Cable or Satellite,Elevator,Gym,Internet Access,Parking,Storage,Washer Dryer",1.0,2.0,No,No,,1400.0,685,Reno,NV,39.52476369315637,-119.83741945179136,RentDigs.com,1568756139
Peoria Luxurious 3 + 2. Pet OK!,,2.0,3.0,No,Yes,"Cats,Dogs",1298.0,1395,Peoria,AZ,33.60492149078002,-112.25379477901478,RentDigs.com,1550832303
1350 N Lakeshore Dr.,"AC,Cable or Satellite,Doorman,Gym,Internet Access,Parking,Patio/Deck,Storage",1.0,0.0,No,Thumbnail,"Cats,Dogs",1321.0,550,Chicago,IL,41.89801784160781,-87.64311315845255,RentDigs.com,1551950934
Three BR 21419 Palma Grove Way,"Dishwasher,Garbage Disposal,Refrigerator",2.0,3.0,No,Thumbnail,"Cats,Dogs",1349.0,1407,Houston,TX,29.789376141528415,-95.431438830782,RentLingo,1577015364
"Lovely Raleigh, One BR, One BA","Gym,Pool,Tennis",1.0,1.0,No,Yes,,833.0,706,Raleigh,NC,35.85943931667695,-78.65324774679942,RentDigs.com,1544176293
Trash and water included. Parking Available!,"Parking,Washer Dryer",2.5,2.0,No,Yes,,915.0,1232,Miamisburg,OH,39.60820953337513,-84.24943208306041,RentDigs.com,1568771628
Now is your chance to book your dream Naples getaway.,"Gym,Pool,Tennis",4.0,5.0,No,Thumbnail,,17000.0,3866,Naples,FL,26.322053645967365,-81.77155054216784,RentDigs.com,1550859220
"Clementon, prime location Two BR, Apartment","Clubhouse,Gym,Tennis,Washer Dryer",1.0,2.0,No,Yes,,1115.0,900,Clementon,NJ,39.79907223662051,-74.98310115012308,RentDigs.com,1568773582
"Move-in condition, One BR One BA","Fireplace,Parking,Pool",1.0,1.0,No,Yes,,1217.0,758,Las Vegas,NV,36.11689560255639,-115.35012060385688,RentDigs.com,1568747995
"Apartment in quiet area, spacious with big kitchen. Covered parking!","Parking,Washer Dryer",2.0,3.0,No,Yes,,1050.0,1091,Edmond,OK,35.589922543630166,-97.4866157652908,RentDigs.com,1568776464
One BR South Wolff Street,,1.0,1.0,No,Thumbnail,,700.0,400,Denver,CO,39.72745747487184,-104.96030230673992,RentLingo,1577014995
Ashton has 1 & Two BR Apartments ranging in size from 616 to 942.,,1.0,2.0,No,Thumbnail,,735.0,942,Kansas City,MO,38.929673541515584,-94.6238084245207,RentDigs.com,1550819260
Apartment in prime location,"Dishwasher,Elevator,Gym,Patio/Deck,Pool,Refrigerator,Washer Dryer",1.0,1.0,No,Yes,,944.0,679,Columbus,OH,40.11144808620036,-83.00190455764043,RentDigs.com,1550853898
Two BR Apartment - Grand Colinas in Irving. Parking Available!,"Clubhouse,Gym,Parking,Patio/Deck,Pool,Storage,Washer Dryer",2.0,2.0,No,Thumbnail,"Cats,Dogs",1285.0,1000,Irving,TX,32.86379972255892,-96.952522997056,RentDigs.com,1550834760
Convenient location Two BR Two BA for rent,,2.0,2.0,No,Yes,,1925.0,951,Denver,CO,39.74427044489603,-105.0771600504293,RentDigs.com,1568745901
Two BR 640 Oak Ridge Rd,,1.0,2.0,No,Thumbnail,,1399.0,1015,Hopkins,MN,44.9079333201949,-93.44761196161356,RentLingo,1575978021
Apartment for rent in Lithonia.,"Patio/Deck,Refrigerator",1.0,1.0,No,Yes,,960.0,955,Lithonia,GA,33.71655792632588,-84.14383343466126,RentDigs.com,1544256841
"Two BR, Two BA, safe neighborhood","Elevator,Gym,Pool",2.0,2.0,No,Yes,,1825.0,1152,Sarasota,FL,27.26276904202316,-82.49773595781176,RentDigs.com,1568750534
Over 981 sf in Grandville,"Parking,Patio/Deck,Playground,Storage",1.5,2.0,No,Yes,,915.0,981,Grandville,MI,42.90520786662759,-85.79313944519483,RentDigs.com,1544239085
One BR Apartment in Quiet Building - Tonopah,"Gym,Pool",1.0,1.0,No,Yes,,788.0,800,Tonopah,NV,38.43392866525549,-116.3110576108781,RentDigs.com,1550851448
One BR Apartment - Large & Bright,"Cable or Satellite,Patio/Deck",1.0,1.0,No,No,,850.0,540,Atlantic City,NJ,39.34102619270916,-74.40684363650696,RentDigs.com,1568779327
Outstanding Opportunity To Live At The Atlanta City Club,Clubhouse,2.0,2.0,No,Yes,,1721.0,1296,Atlanta,GA,33.79871219314419,-84.3219932119187,RentDigs.com,1550829781
"Apartment only for $1,270/mo. You Can Stop Looking Now!","Parking,Storage",1.0,1.0,No,Yes,,1270.0,672,Plano,TX,33.03531128529894,-96.70942224178224,RentDigs.com,1550851768
"$1,670 / One BR - Great Deal. MUST SEE!",Pool,1.0,1.0,No,Yes,,1670.0,815,Riverside,CA,33.97733993818352,-117.34370379555092,RentDigs.com,1544201022
Two BR - When it comes to looking for an apartment in Denver. Pet OK!,,2.0,2.0,No,Yes,"Cats,Dogs",1460.0,1204,Denver,CO,39.70067498077214,-104.87525730450672,RentDigs.com,1568758314
"Ashburn, One BR, One BA for rent","Gym,Parking,Patio/Deck,Pool,Washer Dryer",1.0,1.0,No,Thumbnail,,1632.0,854,Ashburn,VA,38.98885688702196,-77.51609664889283,RentDigs.com,1550821533
Studio - Access Controlled Entry & Exit Gates.,"AC,Cable or Satellite,Clubhouse,Dishwasher,Gym,Patio/Deck,Pool,Refrigerator,Storage,Washer Dryer",1.0,2.0,No,Yes,,3106.0,693,Los Angeles,CA,33.9369816194283,-118.41379138549426,RentDigs.com,1568760925
offers you the perfect refuge from a hectic world.,"Parking,Storage",1.0,1.0,No,Yes,,1043.0,660,Atlanta,GA,33.772318598121416,-84.44113533615611,RentDigs.com,1550833440
"Lovely Bossier City, Two BR, Two BA. Covered parking!","Fireplace,Parking,Washer Dryer",2.0,2.0,No,Thumbnail,,920.0,1004,Bossier City,LA,32.46550151100628,-93.63576739658522,RentDigs.com,1550864738
"Gorgeous Dixie Hill, Two BR, Two BA",,2.0,2.0,No,Yes,,1619.0,1068,Fairfax,VA,38.85811180676024,-77.32288953180648,RentDigs.com,1550829440
One BR Apartment in Quiet Building - Sarasota. Pet OK!,Parking,1.0,1.0,No,Yes,"Cats,Dogs",1135.0,766,Sarasota,FL,27.44679310505741,-82.54544263331942,RentDigs.com,1568751724
"Apartment only for $2,250/mo. You Can Stop Looking Now. Single Car Garage!","Clubhouse,Parking,Pool",2.0,2.0,No,Yes,,2250.0,1137,Salt Lake City,UT,40.80683819337667,-111.8870543170572,RentDigs.com,1544287217
Prominence Apartments Two BR Luxury Apartment Homes. Pet OK!,"Gym,Pool",2.0,2.0,No,Yes,"Cats,Dogs",1504.0,1180,Fall River,MA,41.69802250812297,-71.14264852159378,RentDigs.com,1568767674
One BR 1225 TOWN CENTER DRIVE,"Dishwasher,Parking,Pool",1.0,1.0,No,Thumbnail,,877.0,608,Pflugerville,TX,30.41198646805964,-97.602750738018,RentLingo,1577359537
Super Cute! Apartment for Rent!,"Parking,Wood Floors",1.5,2.0,No,Yes,,1100.0,950,Raleigh,NC,35.80456302048253,-78.67845075040226,RentDigs.com,1568771415
One BR Apartment - a newly acquired community in the heart of Sunnyvale.,"Parking,Pool",1.0,1.0,No,Yes,,2395.0,690,Sunnyvale,CA,37.33652324547494,-121.99090140188028,RentDigs.com,1544249150
Two BR Apartment in Fayette,"AC,Basketball,Cable or Satellite,Clubhouse,Patio/Deck,Playground,Refrigerator,Storage",1.0,2.0,No,Yes,,530.0,900,Fayette,OH,41.66626639405944,-84.31729496910476,RentDigs.com,1550864924
Prominence Apartments One BR Luxury Apartment Homes,Patio/Deck,1.0,1.0,No,Yes,,584.0,550,Lima,OH,40.703266251039054,-84.09115844044456,RentDigs.com,1568775758
Apartment for rent in Gilbert $,"Gym,Internet Access,Parking",2.0,2.0,No,Thumbnail,"Cats,Dogs",1075.0,1060,Gilbert,AZ,33.297916949231855,-111.70815144693069,RentDigs.com,1550826216
894 sq. ft. \ Arlington \ One BR - must see to believe.,"Gym,Pool",1.0,1.0,No,Yes,,2415.0,894,Arlington,VA,38.91709581196953,-77.12952351323318,RentDigs.com,1550843915
Mountain Trails offers 1 & Two BR apartments. Pet OK!,,1.0,1.0,No,Yes,"Cats,Dogs",1132.0,771,Las Vegas,NV,36.0448491705323,-115.22833165355657,RentDigs.com,1568753630
"Apartment, Two BA - in a great area.",,2.0,2.0,No,Yes,,1831.0,1076,Dallas,TX,32.93447692790816,-96.8492760340032,RentDigs.com,1568762316
"Lovely Springfield, One BR, One BA. Single Car Garage!",Parking,1.0,1.0,No,Yes,,595.0,650,Springfield,MO,37.185554704531086,-93.31492102979138,RentDigs.com,1550830329
"Move-in condition, Two BR Two BA","Parking,Storage",2.0,2.0,No,Yes,,1539.0,1255,Chesapeake,VA,36.58818954521495,-76.34879839990954,RentDigs.com,1568747938
1270 SE 26th St 203,"Dishwasher,Gated,Pool,Refrigerator",2.0,2.0,No,Thumbnail,,1345.0,815,Homestead,FL,25.346995020511795,-80.38927065869166,GoSection8,1564608673
